Title,Author,Year,Category,Description,Image
El Diario de Anna Frank ,Anna Frank ,1947,Autobiografía,El Diario de Anna Frank – Testimonio íntimo de una adolescente escondida durante la Segunda Guerra Mundial.,https://puntolectura.com/cdn/shop/files/WhatsApp_Image_2025-03-22_at_2.32.28_PM_3.jpg?v=1742684433
Orgullo y Prejuicio ,Jane Austen,1813,Drama y Romance,Orgullo y Prejuicio – Romance y crítica social mientras Elizabeth Bennet enfrenta prejuicios y malentendidos.,https://www.elejandria.com/covers/Orgullo_y_prejuicio-Jane_Austen-lg.png
Mujercitas ,Louise May Alcott ,1868,Drama y Romance,"Mujercitas – Cuatro hermanas descubren amor, familia y sueños en tiempos difíciles.",https://img.perlego.com/book-covers/2993777/9788427217935.jpg
La Divina Comedia ,Dante Alighieri ,1321,Epopeya,"La Divina Comedia – Viaje espiritual por infierno, purgatorio y paraíso en busca de redención.",https://images.cdn3.buscalibre.com/fit-in/360x360/9e/83/9e8354f1b7f684c889b4853adbdb3cae.jpg
La Prueba del Ángel  ,Anne Rice ,2010,Fantasía,"La Prueba del Ángel – Joven descubre poderes angelicales mientras enfrenta secretos, destino y oscuridad.",https://images.cdn2.buscalibre.com/fit-in/360x360/f8/ee/f8eee496f387be680a8277fdce1331d4.jpg
Harry Potter y la Piedra Filosofal ,J.K. Rowling ,1997,Fantasía,"Harry Potter y la Piedra Filosofal – Niño descubre magia, amistad y destino enfrentando fuerzas oscuras.","https://m.media-amazon.com/images/I/61mEUsasD-L._AC_UF1000,1000_QL80_.jpg"
"Harry Potter y la Cámara Secreta ",J.K. Rowling ,1998,Fantasía,Harry Potter y la Cámara Secreta – Misterio mortal amenaza Hogwarts mientras Harry enfrenta un enemigo oculto.,https://www.llardelllibre.cat/es/imagenes/9788418/978841817312.JPG
Harry Potter y el Prisionero de Azkaban ,J.K. Rowling ,1999,Fantasía,Harry Potter y el Prisionero de Azkaban – Fugitivo peligroso vinculado al pasado de Harry desata revelaciones.,https://www.penguinlibros.com/co/242734-home_default/harry-potter-y-el-prisionero-de-azkaban-harry-potter-3.jpg
"Harry Potter y el Cáliz de Fuego ",J.K. Rowling ,2000,Fantasía,Harry Potter y el Cáliz de Fuego – Torneo mágico pone a Harry en peligro y revive amenaza oscura.,https://cdn5.coppel.com/mkp/23211057-1.jpg
"Harry Potter y la orden del Fénix ",J.K. Rowling ,2003,Fantasía,Harry Potter y la Orden del Fénix – Rebelión estudiantil y guerra oculta mientras Voldemort recupera poder.,https://www.gonvill.com.mx/imagenes/9786073/978607319304.JPG
